Window_ID,Status,Modulation,Confidence
0,BUSY,QAM64,1.0
1,BUSY,QAM64,1.0
2,BUSY,QAM64,1.0
3,BUSY,QAM64,1.0
4,BUSY,QAM64,1.0
5,BUSY,QAM64,1.0
6,BUSY,QAM64,1.0
7,BUSY,QAM64,1.0
8,BUSY,QAM64,1.0
9,BUSY,QAM64,1.0
10,BUSY,QAM64,1.0
11,BUSY,QAM64,1.0
12,BUSY,QAM64,1.0
13,BUSY,QAM64,1.0
14,BUSY,QAM64,1.0
15,BUSY,QAM64,1.0
16,BUSY,QAM64,1.0
17,BUSY,QAM64,1.0
18,BUSY,QAM64,1.0
19,BUSY,QAM64,1.0
20,BUSY,QAM64,1.0
21,BUSY,QAM64,1.0
22,BUSY,QAM64,1.0
23,BUSY,QAM64,1.0
24,BUSY,QAM64,1.0
25,BUSY,QAM64,1.0
26,BUSY,QAM64,1.0
27,BUSY,QAM64,1.0
28,BUSY,QAM64,1.0
29,BUSY,QAM64,1.0
30,BUSY,QAM64,1.0
31,BUSY,QAM64,1.0
32,BUSY,QAM64,1.0
33,BUSY,QAM64,1.0
34,BUSY,QAM64,1.0
35,BUSY,QAM64,1.0
36,BUSY,QAM64,1.0
37,BUSY,QAM64,1.0
38,BUSY,QAM64,1.0
39,BUSY,QAM64,1.0
40,BUSY,QAM64,1.0
41,BUSY,QAM64,1.0
42,BUSY,QAM64,1.0
43,BUSY,QAM64,1.0
44,BUSY,QAM64,1.0
45,BUSY,QAM64,1.0
46,BUSY,QAM64,1.0
47,BUSY,QAM64,1.0
48,BUSY,QAM64,1.0
49,BUSY,QAM64,1.0
50,BUSY,QAM64,1.0
51,BUSY,QAM64,1.0
52,BUSY,QAM64,1.0
53,BUSY,QAM64,1.0
54,BUSY,QAM64,1.0
55,BUSY,QAM64,1.0
56,BUSY,QAM64,1.0
57,BUSY,QAM64,1.0
58,BUSY,QAM64,1.0
59,BUSY,QAM64,1.0
60,BUSY,QAM64,1.0
61,BUSY,QAM64,1.0
62,BUSY,QAM64,1.0
63,BUSY,QAM64,1.0
64,BUSY,QAM64,1.0
65,BUSY,QAM64,1.0
66,BUSY,QAM64,1.0
67,BUSY,QAM64,1.0
68,BUSY,QAM64,1.0
69,BUSY,QAM64,1.0
70,BUSY,QAM64,1.0
71,BUSY,QAM64,1.0
72,BUSY,QAM64,1.0
73,BUSY,QAM64,1.0
74,BUSY,QAM64,1.0
75,BUSY,QAM64,1.0
76,BUSY,QAM64,1.0
77,BUSY,QAM64,1.0
78,BUSY,QAM64,1.0
